date,hour,day_of_week,location,count
2024-01-01,4,0,Girls Hostel,73
2024-01-01,4,0,Sports Ground,29
2024-01-01,4,0,Admin Block,24
2024-01-01,4,0,Computer Lab,6
2024-01-01,4,0,Medical Centre,15
2024-01-01,5,0,Main Canteen,16
2024-01-01,5,0,AB Block,10
2024-01-01,5,0,Library,7
2024-01-01,5,0,Gate 1 (Main Gate),20
2024-01-01,5,0,Gate 2,30
2024-01-01,5,0,Workshop,7
2024-01-01,5,0,EC Block,15
2024-01-01,5,0,Bus Stop Gate 1,20
2024-01-01,5,0,Bus Stop Gate 2,10
2024-01-01,5,0,Boys Hostel Block A,75
2024-01-01,5,0,Girls Hostel,65
2024-01-01,5,0,Sports Ground,15
2024-01-01,5,0,Admin Block,11
2024-01-01,5,0,Computer Lab,11
2024-01-01,5,0,Medical Centre,12
2024-01-01,6,0,Main Canteen,24
2024-01-01,6,0,AB Block,17
2024-01-01,6,0,Library,18
2024-01-01,6,0,Gate 1 (Main Gate),29
2024-01-01,6,0,Gate 2,18
2024-01-01,6,0,Workshop,14
2024-01-01,6,0,EC Block,22
2024-01-01,6,0,Bus Stop Gate 1,11
2024-01-01,6,0,Bus Stop Gate 2,20
2024-01-01,6,0,Boys Hostel Block A,73
2024-01-01,6,0,Girls Hostel,71
2024-01-01,6,0,Sports Ground,13
2024-01-01,6,0,Admin Block,17
2024-01-01,6,0,Computer Lab,10
2024-01-01,6,0,Medical Centre,28
2024-01-01,7,0,Main Canteen,12
2024-01-01,7,0,AB Block,20
2024-01-01,7,0,Library,12
2024-01-01,7,0,Gate 1 (Main Gate),22
2024-01-01,7,0,Gate 2,19
2024-01-01,7,0,Workshop,15
2024-01-01,7,0,EC Block,20
2024-01-01,7,0,Bus Stop Gate 1,8
2024-01-01,7,0,Bus Stop Gate 2,17
2024-01-01,7,0,Boys Hostel Block A,56
2024-01-01,7,0,Girls Hostel,57
2024-01-01,7,0,Sports Ground,25
2024-01-01,7,0,Admin Block,26
2024-01-01,7,0,Computer Lab,5
2024-01-01,7,0,Medical Centre,27
2024-01-01,8,0,Main Canteen,24
2024-01-01,8,0,AB Block,14
2024-01-01,8,0,Library,9
2024-01-01,8,0,Gate 1 (Main Gate),20
2024-01-01,8,0,Gate 2,16
2024-01-01,8,0,Workshop,12
2024-01-01,8,0,EC Block,29
2024-01-01,8,0,Bus Stop Gate 1,76
2024-01-01,8,0,Bus Stop Gate 2,89
2024-01-01,8,0,Boys Hostel Block A,19
2024-01-01,8,0,Girls Hostel,14
2024-01-01,8,0,Sports Ground,12
2024-01-01,8,0,Admin Block,14
2024-01-01,8,0,Computer Lab,9
2024-01-01,8,0,Medical Centre,19
2024-01-01,9,0,Main Canteen,15
2024-01-01,9,0,AB Block,28
2024-01-01,9,0,Library,66
2024-01-01,9,0,Gate 1 (Main Gate),22
2024-01-01,9,0,Gate 2,28
2024-01-01,9,0,Workshop,80
2024-01-01,9,0,EC Block,29
2024-01-01,9,0,Bus Stop Gate 1,73
2024-01-01,9,0,Bus Stop Gate 2,87
2024-01-01,9,0,Boys Hostel Block A,23
2024-01-01,9,0,Girls Hostel,28
2024-01-01,9,0,Sports Ground,16
2024-01-01,9,0,Admin Block,23
2024-01-01,9,0,Computer Lab,68
2024-01-01,9,0,Medical Centre,27
2024-01-01,10,0,Main Canteen,22
2024-01-01,10,0,AB Block,20
2024-01-01,10,0,Library,42
2024-01-01,10,0,Gate 1 (Main Gate),17
2024-01-01,10,0,Gate 2,21
2024-01-01,10,0,Workshop,51
2024-01-01,10,0,EC Block,23
2024-01-01,10,0,Bus Stop Gate 1,73
2024-01-01,10,0,Bus Stop Gate 2,62
2024-01-01,10,0,Boys Hostel Block A,23
2024-01-01,10,0,Girls Hostel,10
2024-01-01,10,0,Sports Ground,13
2024-01-01,10,0,Admin Block,25
2024-01-01,10,0,Computer Lab,73
2024-01-01,10,0,Medical Centre,25
2024-01-01,11,0,Main Canteen,11
2024-01-01,11,0,AB Block,28
2024-01-01,11,0,Library,70
2024-01-01,11,0,Gate 1 (Main Gate),11
2024-01-01,11,0,Gate 2,16
2024-01-01,11,0,Workshop,62
2024-01-01,11,0,EC Block,24
2024-01-01,11,0,Bus Stop Gate 1,9
2024-01-01,11,0,Bus Stop Gate 2,9
2024-01-01,11,0,Boys Hostel Block A,29
2024-01-01,11,0,Girls Hostel,10
2024-01-01,11,0,Sports Ground,16
2024-01-01,11,0,Admin Block,30
2024-01-01,11,0,Computer Lab,62
2024-01-01,11,0,Medical Centre,19
2024-01-01,12,0,Main Canteen,94
2024-01-01,12,0,AB Block,29
2024-01-01,12,0,Library,42
2024-01-01,12,0,Gate 1 (Main Gate),20
2024-01-01,12,0,Gate 2,20
2024-01-01,12,0,Workshop,76
2024-01-01,12,0,EC Block,21
2024-01-01,12,0,Bus Stop Gate 1,14
2024-01-01,12,0,Bus Stop Gate 2,14
2024-01-01,12,0,Boys Hostel Block A,22
2024-01-01,12,0,Girls Hostel,22
2024-01-01,12,0,Sports Ground,11
2024-01-01,12,0,Admin Block,14
2024-01-01,12,0,Computer Lab,74
2024-01-01,12,0,Medical Centre,23
2024-01-01,13,0,Main Canteen,89
2024-01-01,13,0,AB Block,13
2024-01-01,13,0,Library,53
2024-01-01,13,0,Gate 1 (Main Gate),20
2024-01-01,13,0,Gate 2,15
2024-01-01,13,0,Workshop,80
2024-01-01,13,0,EC Block,16
2024-01-01,13,0,Bus Stop Gate 1,10
2024-01-01,13,0,Bus Stop Gate 2,20
2024-01-01,13,0,Boys Hostel Block A,23
2024-01-01,13,0,Girls Hostel,19
2024-01-01,13,0,Sports Ground,21
2024-01-01,13,0,Admin Block,14
2024-01-01,13,0,Computer Lab,72
2024-01-01,13,0,Medical Centre,18
2024-01-01,14,0,Main Canteen,86
2024-01-01,14,0,AB Block,21
2024-01-01,14,0,Library,46
2024-01-01,14,0,Gate 1 (Main Gate),12
2024-01-01,14,0,Gate 2,22
2024-01-01,14,0,Workshop,73
2024-01-01,14,0,EC Block,29
2024-01-01,14,0,Bus Stop Gate 1,13
2024-01-01,14,0,Bus Stop Gate 2,15
2024-01-01,14,0,Boys Hostel Block A,22
2024-01-01,14,0,Girls Hostel,30
2024-01-01,14,0,Sports Ground,26
2024-01-01,14,0,Admin Block,10
2024-01-01,14,0,Computer Lab,78
2024-01-01,14,0,Medical Centre,15
2024-01-01,15,0,Main Canteen,14
2024-01-01,15,0,AB Block,24
2024-01-01,15,0,Library,61
2024-01-01,15,0,Gate 1 (Main Gate),17
2024-01-01,15,0,Gate 2,17
2024-01-01,15,0,Workshop,75
2024-01-01,15,0,EC Block,17
2024-01-01,15,0,Bus Stop Gate 1,16
2024-01-01,15,0,Bus Stop Gate 2,14
2024-01-01,15,0,Boys Hostel Block A,23
2024-01-01,15,0,Girls Hostel,29
2024-01-01,15,0,Sports Ground,12
2024-01-01,15,0,Admin Block,12
2024-01-01,15,0,Computer Lab,50
2024-01-01,15,0,Medical Centre,21
2024-01-01,16,0,Main Canteen,27
2024-01-01,16,0,AB Block,16
2024-01-01,16,0,Library,55
2024-01-01,16,0,Gate 1 (Main Gate),13
2024-01-01,16,0,Gate 2,27
2024-01-01,16,0,Workshop,63
2024-01-01,16,0,EC Block,30
2024-01-01,16,0,Bus Stop Gate 1,8
2024-01-01,16,0,Bus Stop Gate 2,5
2024-01-01,16,0,Boys Hostel Block A,18
2024-01-01,16,0,Girls Hostel,10
2024-01-01,16,0,Sports Ground,30
2024-01-01,16,0,Admin Block,16
2024-01-01,16,0,Computer Lab,58
2024-01-01,16,0,Medical Centre,25
2024-01-01,17,0,Main Canteen,22
2024-01-01,17,0,AB Block,23
2024-01-01,17,0,Library,60
2024-01-01,17,0,Gate 1 (Main Gate),27
2024-01-01,17,0,Gate 2,13
2024-01-01,17,0,Workshop,77
2024-01-01,17,0,EC Block,16
2024-01-01,17,0,Bus Stop Gate 1,62
2024-01-01,17,0,Bus Stop Gate 2,73
2024-01-01,17,0,Boys Hostel Block A,14
2024-01-01,17,0,Girls Hostel,24
2024-01-01,17,0,Sports Ground,21
2024-01-01,17,0,Admin Block,20
2024-01-01,17,0,Computer Lab,78
2024-01-01,17,0,Medical Centre,24
2024-01-01,18,0,Main Canteen,23
2024-01-01,18,0,AB Block,15
2024-01-01,18,0,Library,16
2024-01-01,18,0,Gate 1 (Main Gate),27
2024-01-01,18,0,Gate 2,30
2024-01-01,18,0,Workshop,12
2024-01-01,18,0,EC Block,23
2024-01-01,18,0,Bus Stop Gate 1,86
2024-01-01,18,0,Bus Stop Gate 2,81
2024-01-01,18,0,Boys Hostel Block A,11
2024-01-01,18,0,Girls Hostel,28
2024-01-01,18,0,Sports Ground,13
2024-01-01,18,0,Admin Block,24
2024-01-01,18,0,Computer Lab,10
2024-01-01,18,0,Medical Centre,24
2024-01-01,19,0,Main Canteen,70
2024-01-01,19,0,AB Block,24
2024-01-01,19,0,Library,12
2024-01-01,19,0,Gate 1 (Main Gate),28
2024-01-01,19,0,Gate 2,19
2024-01-01,19,0,Workshop,12
2024-01-01,19,0,EC Block,23
2024-01-01,19,0,Bus Stop Gate 1,78
2024-01-01,19,0,Bus Stop Gate 2,78
2024-01-01,19,0,Boys Hostel Block A,25
2024-01-01,19,0,Girls Hostel,25
2024-01-01,19,0,Sports Ground,11
2024-01-01,19,0,Admin Block,17
2024-01-01,19,0,Computer Lab,10
2024-01-01,19,0,Medical Centre,24
2024-01-01,20,0,Main Canteen,80
2024-01-01,20,0,AB Block,30
2024-01-01,20,0,Library,14
2024-01-01,20,0,Gate 1 (Main Gate),13
2024-01-01,20,0,Gate 2,18
2024-01-01,20,0,Workshop,11
2024-01-01,20,0,EC Block,20
2024-01-01,20,0,Bus Stop Gate 1,20
2024-01-01,20,0,Bus Stop Gate 2,11
2024-01-01,20,0,Boys Hostel Block A,67
2024-01-01,20,0,Girls Hostel,64
2024-01-01,20,0,Sports Ground,13
2024-01-01,20,0,Admin Block,30
2024-01-01,20,0,Computer Lab,11
2024-01-01,20,0,Medical Centre,22
2024-01-01,21,0,Main Canteen,68
2024-01-01,21,0,AB Block,24
2024-01-01,21,0,Library,8
2024-01-01,21,0,Gate 1 (Main Gate),30
2024-01-01,21,0,Gate 2,10
2024-01-01,21,0,Workshop,10
2024-01-01,21,0,EC Block,27
2024-01-01,21,0,Bus Stop Gate 1,7
2024-01-01,21,0,Bus Stop Gate 2,11
2024-01-01,21,0,Boys Hostel Block A,77
2024-01-01,21,0,Girls Hostel,50
2024-01-01,21,0,Sports Ground,21
2024-01-01,21,0,Admin Block,26
2024-01-01,21,0,Computer Lab,8
2024-01-01,21,0,Medical Centre,12
2024-01-01,22,0,Main Canteen,25
2024-01-01,22,0,AB Block,24
2024-01-01,22,0,Library,20
2024-01-01,22,0,Gate 1 (Main Gate),19
2024-01-01,22,0,Gate 2,22
2024-01-01,22,0,Workshop,13
2024-01-01,22,0,EC Block,22
2024-01-01,22,0,Bus Stop Gate 1,7
2024-01-01,22,0,Bus Stop Gate 2,9
2024-01-01,22,0,Boys Hostel Block A,52
2024-01-01,22,0,Girls Hostel,53
2024-01-01,22,0,Sports Ground,12
2024-01-01,22,0,Admin Block,21
2024-01-01,22,0,Computer Lab,13
2024-01-01,22,0,Medical Centre,26
2024-01-01,23,0,Main Canteen,23
2024-01-01,23,0,AB Block,16
2024-01-01,23,0,Library,7
2024-01-01,23,0,Gate 1 (Main Gate),18
2024-01-01,23,0,Gate 2,28
2024-01-01,23,0,Workshop,6
2024-01-01,23,0,EC Block,17
2024-01-01,23,0,Bus Stop Gate 1,7
2024-01-01,23,0,Bus Stop Gate 2,20
2024-01-01,23,0,Boys Hostel Block A,79
2024-01-01,23,0,Girls Hostel,65
2024-01-01,23,0,Sports Ground,22
2024-01-01,23,0,Admin Block,26
2024-01-01,23,0,Computer Lab,6
2024-01-01,23,0,Medical Centre,18
2024-01-02,0,1,Main Canteen,28
2024-01-02,0,1,AB Block,10
2024-01-02,0,1,Library,19
2024-01-02,0,1,Gate 1 (Main Gate),20
2024-01-02,0,1,Gate 2,30
2024-01-02,0,1,Workshop,7
2024-01-02,0,1,EC Block,16
2024-01-02,0,1,Bus Stop Gate 1,18
2024-01-02,0,1,Bus Stop Gate 2,10
2024-01-02,0,1,Boys Hostel Block A,53
2024-01-02,0,1,Girls Hostel,61
2024-01-02,0,1,Sports Ground,29
2024-01-02,0,1,Admin Block,20
2024-01-02,0,1,Computer Lab,12
2024-01-02,0,1,Medical Centre,24
2024-01-02,1,1,Main Canteen,26
2024-01-02,1,1,AB Block,21
2024-01-02,1,1,Library,7
2024-01-02,1,1,Gate 1 (Main Gate),25
2024-01-02,1,1,Gate 2,30
2024-01-02,1,1,Workshop,11
2024-01-02,1,1,EC Block,23
2024-01-02,1,1,Bus Stop Gate 1,9
2024-01-02,1,1,Bus Stop Gate 2,12
2024-01-02,1,1,Boys Hostel Block A,53
2024-01-02,1,1,Girls Hostel,69
2024-01-02,1,1,Sports Ground,29
2024-01-02,1,1,Admin Block,27
2024-01-02,1,1,Computer Lab,7
2024-01-02,1,1,Medical Centre,22
2024-01-02,2,1,Main Canteen,19
2024-01-02,2,1,AB Block,18
2024-01-02,2,1,Library,17
2024-01-02,2,1,Gate 1 (Main Gate),18
2024-01-02,2,1,Gate 2,23
2024-01-02,2,1,Workshop,13
2024-01-02,2,1,EC Block,12
2024-01-02,2,1,Bus Stop Gate 1,10
2024-01-02,2,1,Bus Stop Gate 2,6
2024-01-02,2,1,Boys Hostel Block A,68
2024-01-02,2,1,Girls Hostel,55
2024-01-02,2,1,Sports Ground,21
2024-01-02,2,1,Admin Block,23
2024-01-02,2,1,Computer Lab,13
2024-01-02,2,1,Medical Centre,20
2024-01-02,3,1,Main Canteen,22
2024-01-02,3,1,AB Block,19
2024-01-02,3,1,Library,10
2024-01-02,3,1,Gate 1 (Main Gate),16
2024-01-02,3,1,Gate 2,15
2024-01-02,3,1,Workshop,13
2024-01-02,3,1,EC Block,30
2024-01-02,3,1,Bus Stop Gate 1,9
2024-01-02,3,1,Bus Stop Gate 2,17
2024-01-02,3,1,Boys Hostel Block A,69
2024-01-02,3,1,Girls Hostel,52
2024-01-02,3,1,Sports Ground,22
2024-01-02,3,1,Admin Block,19
2024-01-02,3,1,Computer Lab,9
2024-01-02,3,1,Medical Centre,12
2024-01-02,4,1,Main Canteen,12
2024-01-02,4,1,AB Block,25
2024-01-02,4,1,Library,16
2024-01-02,4,1,Gate 1 (Main Gate),26
2024-01-02,4,1,Gate 2,19
2024-01-02,4,1,Workshop,12
2024-01-02,4,1,EC Block,28
2024-01-02,4,1,Bus Stop Gate 1,14
2024-01-02,4,1,Bus Stop Gate 2,19
2024-01-02,4,1,Boys Hostel Block A,54
2024-01-02,4,1,Girls Hostel,79
2024-01-02,4,1,Sports Ground,30
2024-01-02,4,1,Admin Block,29
2024-01-02,4,1,Computer Lab,8
2024-01-02,4,1,Medical Centre,29
2024-01-02,5,1,Main Canteen,27
2024-01-02,5,1,AB Block,12
2024-01-02,5,1,Library,18
2024-01-02,5,1,Gate 1 (Main Gate),23
2024-01-02,5,1,Gate 2,10
2024-01-02,5,1,Workshop,9
2024-01-02,5,1,EC Block,14
2024-01-02,5,1,Bus Stop Gate 1,8
2024-01-02,5,1,Bus Stop Gate 2,12
2024-01-02,5,1,Boys Hostel Block A,73
2024-01-02,5,1,Girls Hostel,62
2024-01-02,5,1,Sports Ground,19
2024-01-02,5,1,Admin Block,19
2024-01-02,5,1,Computer Lab,6
2024-01-02,5,1,Medical Centre,15
2024-01-02,6,1,Main Canteen,27
2024-01-02,6,1,AB Block,29
2024-01-02,6,1,Library,16
2024-01-02,6,1,Gate 1 (Main Gate),28
2024-01-02,6,1,Gate 2,25
2024-01-02,6,1,Workshop,14
2024-01-02,6,1,EC Block,19
2024-01-02,6,1,Bus Stop Gate 1,15
2024-01-02,6,1,Bus Stop Gate 2,14
2024-01-02,6,1,Boys Hostel Block A,67
2024-01-02,6,1,Girls Hostel,70
2024-01-02,6,1,Sports Ground,14
2024-01-02,6,1,Admin Block,15
2024-01-02,6,1,Computer Lab,12
2024-01-02,6,1,Medical Centre,10
2024-01-02,7,1,Main Canteen,10
2024-01-02,7,1,AB Block,22
2024-01-02,7,1,Library,14
2024-01-02,7,1,Gate 1 (Main Gate),15
2024-01-02,7,1,Gate 2,16
2024-01-02,7,1,Workshop,9
2024-01-02,7,1,EC Block,11
2024-01-02,7,1,Bus Stop Gate 1,7
2024-01-02,7,1,Bus Stop Gate 2,5
2024-01-02,7,1,Boys Hostel Block A,77
2024-01-02,7,1,Girls Hostel,55
2024-01-02,7,1,Sports Ground,26
2024-01-02,7,1,Admin Block,23
2024-01-02,7,1,Computer Lab,14
2024-01-02,7,1,Medical Centre,13
2024-01-02,8,1,Main Canteen,12
2024-01-02,8,1,AB Block,20
2024-01-02,8,1,Library,12
2024-01-02,8,1,Gate 1 (Main Gate),26
2024-01-02,8,1,Gate 2,10
2024-01-02,8,1,Workshop,13
2024-01-02,8,1,EC Block,26
2024-01-02,8,1,Bus Stop Gate 1,62
2024-01-02,8,1,Bus Stop Gate 2,80
2024-01-02,8,1,Boys Hostel Block A,14
2024-01-02,8,1,Girls Hostel,19
2024-01-02,8,1,Sports Ground,25
2024-01-02,8,1,Admin Block,27
2024-01-02,8,1,Computer Lab,8
2024-01-02,8,1,Medical Centre,22
2024-01-02,9,1,Main Canteen,26
2024-01-02,9,1,AB Block,16
2024-01-02,9,1,Library,64
2024-01-02,9,1,Gate 1 (Main Gate),12
2024-01-02,9,1,Gate 2,11
2024-01-02,9,1,Workshop,71
2024-01-02,9,1,EC Block,24
2024-01-02,9,1,Bus Stop Gate 1,60
2024-01-02,9,1,Bus Stop Gate 2,87
2024-01-02,9,1,Boys Hostel Block A,16
2024-01-02,9,1,Girls Hostel,27
2024-01-02,9,1,Sports Ground,29
2024-01-02,9,1,Admin Block,26
2024-01-02,9,1,Computer Lab,71
2024-01-02,9,1,Medical Centre,22
2024-01-02,10,1,Main Canteen,22
2024-01-02,10,1,AB Block,25
2024-01-02,10,1,Library,50
2024-01-02,10,1,Gate 1 (Main Gate),11
2024-01-02,10,1,Gate 2,21
2024-01-02,10,1,Workshop,60
2024-01-02,10,1,EC Block,27
2024-01-02,10,1,Bus Stop Gate 1,73
2024-01-02,10,1,Bus Stop Gate 2,82
2024-01-02,10,1,Boys Hostel Block A,22
2024-01-02,10,1,Girls Hostel,12
2024-01-02,10,1,Sports Ground,13
2024-01-02,10,1,Admin Block,27
2024-01-02,10,1,Computer Lab,53
2024-01-02,10,1,Medical Centre,21
2024-01-02,11,1,Main Canteen,23
2024-01-02,11,1,AB Block,21
2024-01-02,11,1,Library,67
2024-01-02,11,1,Gate 1 (Main Gate),15
2024-01-02,11,1,Gate 2,13
2024-01-02,11,1,Workshop,71
2024-01-02,11,1,EC Block,14
2024-01-02,11,1,Bus Stop Gate 1,14
2024-01-02,11,1,Bus Stop Gate 2,17
2024-01-02,11,1,Boys Hostel Block A,26
2024-01-02,11,1,Girls Hostel,23
2024-01-02,11,1,Sports Ground,24
2024-01-02,11,1,Admin Block,19
2024-01-02,11,1,Computer Lab,70
2024-01-02,11,1,Medical Centre,14
2024-01-02,12,1,Main Canteen,84
2024-01-02,12,1,AB Block,15
2024-01-02,12,1,Library,45
2024-01-02,12,1,Gate 1 (Main Gate),23
2024-01-02,12,1,Gate 2,20
2024-01-02,12,1,Workshop,55
2024-01-02,12,1,EC Block,19
2024-01-02,12,1,Bus Stop Gate 1,14
2024-01-02,12,1,Bus Stop Gate 2,20
2024-01-02,12,1,Boys Hostel Block A,20
2024-01-02,12,1,Girls Hostel,26
2024-01-02,12,1,Sports Ground,16
2024-01-02,12,1,Admin Block,22
2024-01-02,12,1,Computer Lab,53
2024-01-02,12,1,Medical Centre,30
2024-01-02,13,1,Main Canteen,86
2024-01-02,13,1,AB Block,13
2024-01-02,13,1,Library,66
2024-01-02,13,1,Gate 1 (Main Gate),27
2024-01-02,13,1,Gate 2,15
2024-01-02,13,1,Workshop,75
2024-01-02,13,1,EC Block,29
2024-01-02,13,1,Bus Stop Gate 1,9
2024-01-02,13,1,Bus Stop Gate 2,12
2024-01-02,13,1,Boys Hostel Block A,10
2024-01-02,13,1,Girls Hostel,16
2024-01-02,13,1,Sports Ground,30
2024-01-02,13,1,Admin Block,21
2024-01-02,13,1,Computer Lab,79
2024-01-02,13,1,Medical Centre,29
2024-01-02,14,1,Main Canteen,95
2024-01-02,14,1,AB Block,28
2024-01-02,14,1,Library,42
2024-01-02,14,1,Gate 1 (Main Gate),13
2024-01-02,14,1,Gate 2,29
2024-01-02,14,1,Workshop,80
2024-01-02,14,1,EC Block,14
2024-01-02,14,1,Bus Stop Gate 1,14
2024-01-02,14,1,Bus Stop Gate 2,7
2024-01-02,14,1,Boys Hostel Block A,10
2024-01-02,14,1,Girls Hostel,12
2024-01-02,14,1,Sports Ground,22
2024-01-02,14,1,Admin Block,27
2024-01-02,14,1,Computer Lab,54
2024-01-02,14,1,Medical Centre,15
2024-01-02,15,1,Main Canteen,18
2024-01-02,15,1,AB Block,27
2024-01-02,15,1,Library,50
2024-01-02,15,1,Gate 1 (Main Gate),30
2024-01-02,15,1,Gate 2,14
2024-01-02,15,1,Workshop,77
2024-01-02,15,1,EC Block,30
2024-01-02,15,1,Bus Stop Gate 1,12
2024-01-02,15,1,Bus Stop Gate 2,20
2024-01-02,15,1,Boys Hostel Block A,26
2024-01-02,15,1,Girls Hostel,30
2024-01-02,15,1,Sports Ground,26
2024-01-02,15,1,Admin Block,30
2024-01-02,15,1,Computer Lab,77
2024-01-02,15,1,Medical Centre,10
2024-01-02,16,1,Main Canteen,12
2024-01-02,16,1,AB Block,12
2024-01-02,16,1,Library,48
2024-01-02,16,1,Gate 1 (Main Gate),20
2024-01-02,16,1,Gate 2,18
2024-01-02,16,1,Workshop,57
2024-01-02,16,1,EC Block,25
2024-01-02,16,1,Bus Stop Gate 1,20
2024-01-02,16,1,Bus Stop Gate 2,9
2024-01-02,16,1,Boys Hostel Block A,15
2024-01-02,16,1,Girls Hostel,12
2024-01-02,16,1,Sports Ground,19
2024-01-02,16,1,Admin Block,24
2024-01-02,16,1,Computer Lab,58
2024-01-02,16,1,Medical Centre,28
2024-01-02,17,1,Main Canteen,29
2024-01-02,17,1,AB Block,12
2024-01-02,17,1,Library,69
2024-01-02,17,1,Gate 1 (Main Gate),30
2024-01-02,17,1,Gate 2,12
2024-01-02,17,1,Workshop,56
2024-01-02,17,1,EC Block,19
2024-01-02,17,1,Bus Stop Gate 1,64
2024-01-02,17,1,Bus Stop Gate 2,60
2024-01-02,17,1,Boys Hostel Block A,12
2024-01-02,17,1,Girls Hostel,10
2024-01-02,17,1,Sports Ground,30
2024-01-02,17,1,Admin Block,12
2024-01-02,17,1,Computer Lab,52
2024-01-02,17,1,Medical Centre,15
2024-01-02,18,1,Main Canteen,11
2024-01-02,18,1,AB Block,20
2024-01-02,18,1,Library,10
2024-01-02,18,1,Gate 1 (Main Gate),28
2024-01-02,18,1,Gate 2,16
2024-01-02,18,1,Workshop,10
2024-01-02,18,1,EC Block,16
2024-01-02,18,1,Bus Stop Gate 1,63
2024-01-02,18,1,Bus Stop Gate 2,86
2024-01-02,18,1,Boys Hostel Block A,23
2024-01-02,18,1,Girls Hostel,25
2024-01-02,18,1,Sports Ground,17
2024-01-02,18,1,Admin Block,10
2024-01-02,18,1,Computer Lab,5
2024-01-02,18,1,Medical Centre,11
2024-01-02,19,1,Main Canteen,71
2024-01-02,19,1,AB Block,21
2024-01-02,19,1,Library,8
2024-01-02,19,1,Gate 1 (Main Gate),21
2024-01-02,19,1,Gate 2,21
2024-01-02,19,1,Workshop,7
2024-01-02,19,1,EC Block,13
2024-01-02,19,1,Bus Stop Gate 1,84
2024-01-02,19,1,Bus Stop Gate 2,72
2024-01-02,19,1,Boys Hostel Block A,19
2024-01-02,19,1,Girls Hostel,17
2024-01-02,19,1,Sports Ground,17
2024-01-02,19,1,Admin Block,16
2024-01-02,19,1,Computer Lab,11
2024-01-02,19,1,Medical Centre,21
2024-01-02,20,1,Main Canteen,85
2024-01-02,20,1,AB Block,11
2024-01-02,20,1,Library,17
2024-01-02,20,1,Gate 1 (Main Gate),17
2024-01-02,20,1,Gate 2,24
2024-01-02,20,1,Workshop,15
2024-01-02,20,1,EC Block,30
2024-01-02,20,1,Bus Stop Gate 1,14
2024-01-02,20,1,Bus Stop Gate 2,11
2024-01-02,20,1,Boys Hostel Block A,54
2024-01-02,20,1,Girls Hostel,57
2024-01-02,20,1,Sports Ground,14
2024-01-02,20,1,Admin Block,13
2024-01-02,20,1,Computer Lab,10
2024-01-02,20,1,Medical Centre,16
2024-01-02,21,1,Main Canteen,85
2024-01-02,21,1,AB Block,27
2024-01-02,21,1,Library,14
